Episode,Time,StateHash,Action,Reward,OldQ,NewQ,Delta
1,1171.7,145,SweepArea,-0.21,0.010,-0.051,-0.0616
1,1180.6,145,SweepArea,-0.24,-0.051,-0.098,-0.0465
1,1189.6,145,SweepArea,-0.09,-0.098,-0.086,0.0121
1,1198.0,145,SweepArea,-0.33,-0.086,-0.150,-0.0645
1,1213.3,145,AmbushHotChoke,-0.36,-0.127,-0.187,-0.0603
1,1214.5,127,HideSpotCheck,-0.36,0.046,-0.050,-0.0956
2,1259.7,109,Patrol,-0.80,0.088,-0.167,-0.2541
2,1263.0,144,HideSpotCheck,0.22,0.425,0.470,0.0451
2,1265.0,144,HideSpotCheck,0.23,0.470,0.526,0.0554
2,1310.2,144,Patrol,-0.79,-0.253,-0.399,-0.1462
2,1322.0,144,HideSpotCheck,0.13,0.526,0.494,-0.0319
2,1337.2,144,HideSpotCheck,-0.63,0.494,0.224,-0.2700
2,1352.2,144,HideSpotCheck,-0.65,0.224,-0.007,-0.2311
2,1368.6,144,SweepArea,-0.31,-0.087,-0.143,-0.0553
2,1379.3,144,HideSpotCheck,0.38,-0.007,0.126,0.1330
2,1424.6,144,Patrol,-0.78,-0.399,-0.509,-0.1102
2,1429.5,144,HideSpotCheck,0.20,0.126,0.178,0.0519
2,1431.6,144,HideSpotCheck,0.23,0.178,0.241,0.0635
2,1433.8,144,HideSpotCheck,0.23,0.241,0.302,0.0606
2,1436.0,144,HideSpotCheck,0.13,0.302,0.330,0.0288
2,1438.2,144,HideSpotCheck,0.03,0.330,0.328,-0.0022
2,1440.2,144,HideSpotCheck,-0.07,0.328,0.298,-0.0307
2,1442.3,144,HideSpotCheck,-0.77,0.298,0.057,-0.2403
2,1444.7,144,HideSpotCheck,-1.02,0.057,-0.241,-0.2983
2,1461.9,144,SweepArea,0.07,-0.143,-0.054,0.0889
2,1472.2,108,HideSpotCheck,0.15,0.201,0.220,0.0195
2,1481.9,108,HideSpotCheck,0.30,0.220,0.285,0.0650
