episodeId,seed,scenarioId,mode,startTime,endTime,duration,terminationReason,success,timeToCapture,totalReward,epsilonUsed,action0_count,action1_count,action2_count,action3_count,action4_count,action5_count,action6_count,action7_count,action0_time,action1_time,action2_time,action3_time,action4_time,action5_time,action6_time,action7_time,uniqueStatesVisited,firstContactTime,tdErrorMean,useLearning,useHeat
152,-529993827,default,TRAIN,47625.86,48181.43,555.5781,QUEST_COMPLETE,0,-1,0,0.1407364,8,0,0,8,7,2,8,0,270.9102,0,0,129.2227,38.47656,28.04297,41.97656,0,0,-1,0.4482273,1,1
153,-529993827,default,TRAIN,48182.53,48582.96,400.4258,CAPTURE,0,-1,0,0.1400328,3,0,0,31,16,2,4,0,128.8906,0,0,174.1875,4.664063,25.09375,18.125,0,0,-1,0.7411457,1,1
154,-529993827,default,TRAIN,48583.97,48796.12,212.1445,CAPTURE,0,-1,0,0.1393326,3,1,0,2,2,7,5,0,88.98438,5.292969,0,12.04688,0.5703125,79.19141,17.85938,0,0,-1,0.7914023,1,1
155,-529993827,default,TRAIN,48797.16,49067.05,269.8906,QUEST_COMPLETE,0,-1,0,0.1386359,6,0,0,1,0,0,0,0,222.6094,0,0,13.35156,0,0,0,0,0,-1,0.6653268,1,1
156,-529993827,default,TRAIN,49068.08,49289.45,221.3672,CAPTURE,0,-1,0,0.1379428,4,0,0,2,4,0,0,0,174.5781,0,0,15.12891,6.796875,0,0,0,0,-1,1.203773,1,1
157,-529993827,default,TRAIN,49290.51,49381.43,90.91797,CAPTURE,0,-1,0,0.137253,2,0,0,0,1,0,0,0,45.00391,0,0,0,2.855469,0,0,0,0,-1,1.603687,1,1
158,-529993827,default,TRAIN,49382.47,49428.57,46.10547,CAPTURE,0,-1,0,0.1365668,1,0,0,1,0,0,0,0,0,0,0,4.355469,0,0,0,0,0,-1,0.90337,1,1
159,-529993827,default,TRAIN,49429.73,49525.54,95.80469,CAPTURE,0,-1,0,0.135884,1,1,0,0,1,1,1,0,38.89844,5.140625,0,0,0,15.16406,10.58203,0,0,-1,1.889329,1,1
160,-529993827,default,TRAIN,49526.56,49844.72,318.1563,CAPTURE,0,-1,0,0.1352045,3,0,0,6,6,1,1,0,128.9492,0,0,92.55078,64.73828,0,11.17188,0,0,-1,1.177766,1,1
161,-529993827,default,TRAIN,49845.92,50283.64,437.7188,CAPTURE,0,-1,0,0.1345285,6,0,0,5,12,4,4,0,248,0,0,74.44531,24.69922,55.01953,14.17969,0,0,-1,0.8808416,1,1
162,-529993827,default,TRAIN,50284.7,50291.21,6.515625,CAPTURE,0,-1,0,0.1338559,1,0,0,3,0,0,0,0,0,0,0,4.375,0,0,0,0,0,-1,0.394345,1,1
163,-529993827,default,TRAIN,50292.52,50853.89,561.375,QUEST_COMPLETE,0,-1,0,0.1331866,8,0,0,9,35,0,0,0,297.6016,0,0,111.5039,69.94531,0,0,0,0,-1,0.4155305,1,1
