Time,DecisionType,Winner,WinnerScore,CandidateCount,Top5Candidates
23904,5,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
23906,1,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
23907,7,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
23909,2,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
23949,8,Patrol,R5,0,594,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
23969,5,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
23971,0,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
23972,5,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
23974,3,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
23975,7,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
24022,5,Patrol,R2,0,588,10,R2(0,59)|R7(0,59)|HUB(0,58)|C1(0,58)|R4(0,58)|
24030,2,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
24129,9,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
24177,7,Patrol,HUB,0,589,10,HUB(0,59)|R7(0,59)|R4(0,58)|R2(0,58)|R5(0,58)|
24194,1,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
24286,1,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
24346,9,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
24426,1,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
24442,8,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
24451,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
24459,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
24484,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|R5(0,58)|R3(0,58)|C1(0,58)|
24516,0,Patrol,HUB,0,592,10,HUB(0,59)|R1(0,58)|R5(0,58)|C1(0,58)|R7(0,58)|
24579,2,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
24583,5,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
24588,7,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
24632,9,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
24844,6,Patrol,HUB,0,592,10,HUB(0,59)|R1(0,58)|R5(0,58)|C1(0,58)|R7(0,58)|
24943,2,Patrol,HUB,0,592,10,HUB(0,59)|R7(0,58)|C1(0,58)|R1(0,58)|R2(0,58)|
25087,5,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
25195,2,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,58)|HUB(0,58)|EXIT(0,58)|
25215,4,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,59)|HUB(0,58)|EXIT(0,58)|
25236,7,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,59)|HUB(0,58)|EXIT(0,58)|
25258,3,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,59)|HUB(0,58)|EXIT(0,58)|
25337,9,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
25609,4,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
25610,8,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
25612,3,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
25742,7,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
25795,0,Patrol,R7,0,595,10,R7(0,60)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
25821,8,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
25907,3,Patrol,HUB,0,593,10,HUB(0,59)|R5(0,58)|R7(0,58)|R1(0,58)|R4(0,58)|
26071,0,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
26104,4,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
26138,2,Patrol,HUB,0,588,10,HUB(0,59)|R7(0,59)|R4(0,58)|R2(0,58)|R5(0,58)|
26155,5,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
26163,9,Patrol,R7,0,606,10,R7(0,61)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
26171,6,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
26191,7,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|EXIT(0,57)|
26280,1,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
26368,8,Patrol,R7,0,595,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
26427,4,Patrol,HUB,0,590,10,HUB(0,59)|R7(0,58)|R5(0,58)|R4(0,58)|R2(0,58)|
26607,7,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
26627,6,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
26650,5,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
26681,5,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
26695,1,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
26787,4,Patrol,HUB,0,590,10,HUB(0,59)|R7(0,58)|R4(0,58)|R5(0,58)|R2(0,58)|
26902,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
26911,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
26937,0,Patrol,R1,0,593,10,R1(0,59)|HUB(0,58)|C1(0,58)|R3(0,57)|R7(0,57)|
27161,6,Patrol,R1,0,597,10,R1(0,60)|HUB(0,58)|R3(0,58)|C1(0,57)|R7(0,57)|
27165,6,Patrol,R1,0,593,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
27169,7,Patrol,R1,0,594,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
27285,0,Patrol,HUB,0,590,10,HUB(0,59)|R7(0,58)|R5(0,58)|R4(0,58)|R2(0,58)|
27300,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
27317,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
27333,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
27349,7,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
27366,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
27381,7,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
27909,8,Patrol,R4,0,593,10,R4(0,59)|R7(0,59)|R2(0,58)|HUB(0,58)|EXIT(0,58)|
27915,1,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28022,3,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
28037,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
28101,6,Patrol,R7,0,606,10,R7(0,61)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
28109,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
28178,9,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
28194,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
28210,2,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
28226,5,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
28243,1,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
28259,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
28276,4,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
28394,8,Patrol,R4,0,592,10,R4(0,59)|R7(0,59)|R2(0,58)|HUB(0,58)|EXIT(0,58)|
28400,5,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28407,7,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28415,1,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28421,9,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28428,9,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28435,8,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28442,7,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28494,8,Patrol,HUB,0,592,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R1(0,58)|
28594,6,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
28668,1,Patrol,R7,0,592,10,R7(0,59)|R4(0,59)|R2(0,59)|HUB(0,58)|EXIT(0,58)|
28693,4,Patrol,R7,0,596,10,R7(0,60)|R2(0,59)|R4(0,59)|HUB(0,58)|EXIT(0,58)|
28707,3,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
28792,6,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
28797,4,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
28802,5,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
28827,7,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,59)|R2(0,58)|R6(0,57)|
28848,8,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
28857,4,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
28865,9,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
28874,5,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
28974,3,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
29163,3,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
29179,8,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29217,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29226,5,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29235,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29244,1,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29252,8,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29271,4,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29280,5,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29289,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29298,0,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29306,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29315,5,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29324,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29332,7,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29341,5,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
29393,0,Patrol,HUB,0,592,10,HUB(0,59)|R1(0,58)|R5(0,58)|C1(0,58)|R7(0,58)|
29424,8,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
29572,1,Patrol,R7,0,591,10,R7(0,59)|R2(0,59)|HUB(0,58)|C1(0,58)|R4(0,58)|
29658,9,Patrol,R7,0,590,10,R7(0,59)|R2(0,59)|HUB(0,58)|C1(0,58)|R4(0,58)|
29721,9,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
29771,6,Patrol,R7,0,590,10,R7(0,59)|R2(0,59)|HUB(0,58)|C1(0,58)|R4(0,58)|
29830,5,Patrol,R7,0,599,10,R7(0,60)|R2(0,59)|R4(0,58)|HUB(0,58)|EXIT(0,58)|
29962,2,Patrol,R7,0,595,10,R7(0,60)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,57)|
30008,9,Patrol,R7,0,600,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30035,3,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
30038,8,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
30155,8,Patrol,R4,0,593,10,R4(0,59)|R7(0,59)|R2(0,58)|HUB(0,58)|EXIT(0,58)|
30161,2,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
30167,8,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
30174,5,Patrol,R4,0,587,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
30181,2,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
30188,1,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
30194,6,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R5(0,58)|R6(0,58)|
30201,1,Patrol,R4,0,588,10,R4(0,59)|R7(0,59)|HUB(0,58)|R6(0,58)|R5(0,58)|
30290,4,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
30305,5,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
30410,4,Patrol,R7,0,601,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30419,7,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30437,9,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30470,5,Patrol,R7,0,600,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30484,6,Patrol,R7,0,601,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30502,0,Patrol,R7,0,601,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30516,2,Patrol,R7,0,601,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30528,5,Patrol,R7,0,600,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30545,2,Patrol,R7,0,600,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30753,0,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
30776,2,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30785,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30793,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30802,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30811,7,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
30820,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
31003,7,Patrol,R7,0,606,10,R7(0,61)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
31066,0,Patrol,HUB,0,592,10,HUB(0,59)|R5(0,58)|R7(0,58)|R1(0,58)|R4(0,58)|
31094,3,Patrol,HUB,0,592,10,HUB(0,59)|R1(0,58)|R5(0,58)|C1(0,58)|R7(0,58)|
31109,3,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
31126,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
31143,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
31160,0,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
31187,5,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
31202,5,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
31204,1,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
31205,6,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
31322,4,Patrol,R7,0,595,10,R7(0,60)|R4(0,59)|R2(0,59)|HUB(0,58)|EXIT(0,58)|
31497,2,Patrol,C1,0,586,10,C1(0,59)|HUB(0,59)|R1(0,58)|R7(0,58)|R2(0,58)|
31498,7,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
31500,1,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
31501,5,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
31539,6,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
31553,4,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
31570,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
31586,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
31603,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
31619,6,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
31635,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
31717,2,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
31721,4,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
31726,0,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
31730,3,Patrol,R5,0,591,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
31734,9,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
31739,5,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
31788,9,Patrol,R1,0,597,10,R1(0,60)|HUB(0,58)|R3(0,58)|C1(0,57)|R7(0,57)|
31792,9,Patrol,R1,0,593,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
31796,9,Patrol,R1,0,593,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
31800,7,Patrol,R1,0,594,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
31852,4,Patrol,R1,0,586,10,R1(0,59)|HUB(0,59)|C1(0,59)|R7(0,58)|R2(0,58)|
31861,8,Patrol,R1,0,593,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R5(0,57)|
31865,7,Patrol,R1,0,594,10,R1(0,59)|HUB(0,58)|R3(0,58)|C1(0,58)|R7(0,57)|
31890,7,Patrol,R7,0,600,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
31921,2,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
32004,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
32021,3,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
32022,6,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
32024,1,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
32025,6,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
32027,2,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
32028,7,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
32201,2,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
32230,8,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32235,4,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32240,0,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32244,3,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32249,2,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32253,4,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32258,0,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32289,9,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,59)|R7(0,58)|R4(0,58)|R1(0,58)|
32320,5,Patrol,HUB,0,592,10,HUB(0,59)|R1(0,58)|R5(0,58)|C1(0,58)|R7(0,58)|
32335,2,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
32435,9,Patrol,R7,0,588,10,R7(0,59)|R4(0,59)|HUB(0,59)|R2(0,58)|R5(0,58)|
32471,8,Patrol,HUB,0,588,10,HUB(0,59)|R7(0,59)|R4(0,58)|R2(0,58)|R5(0,58)|
32509,6,Patrol,HUB,0,595,10,HUB(0,60)|R5(0,58)|R1(0,58)|R7(0,58)|C1(0,58)|
32537,2,Patrol,R5,0,594,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32541,1,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32545,9,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32550,7,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32555,5,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
32574,7,Patrol,HUB,0,590,10,HUB(0,59)|R7(0,58)|C1(0,58)|R2(0,58)|R1(0,58)|
32600,0,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
